"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Alabama","1 wk ahead","Point","percent",NA,NA,10.4
"Alabama","1 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","1 wk ahead","Bin","percent","0.1","0.2",1e-04
"Alabama","1 wk ahead","Bin","percent","0.2","0.3",2e-04
"Alabama","1 wk ahead","Bin","percent","0.3","0.4",0
"Alabama","1 wk ahead","Bin","percent","0.4","0.5",1e-04
"Alabama","1 wk ahead","Bin","percent","0.5","0.6",2e-04
"Alabama","1 wk ahead","Bin","percent","0.6","0.7",2e-04
"Alabama","1 wk ahead","Bin","percent","0.7","0.8",3e-04
"Alabama","1 wk ahead","Bin","percent","0.8","0.9",1e-04
"Alabama","1 wk ahead","Bin","percent","0.9","1.0",2e-04
"Alabama","1 wk ahead","Bin","percent","1.0","1.1",1e-04
"Alabama","1 wk ahead","Bin","percent","1.1","1.2",1e-04
"Alabama","1 wk ahead","Bin","percent","1.2","1.3",1e-04
"Alabama","1 wk ahead","Bin","percent","1.3","1.4",1e-04
"Alabama","1 wk ahead","Bin","percent","1.4","1.5",0
"Alabama","1 wk ahead","Bin","percent","1.5","1.6",1e-04
"Alabama","1 wk ahead","Bin","percent","1.6","1.7",2e-04
"Alabama","1 wk ahead","Bin","percent","1.7","1.8",3e-04
"Alabama","1 wk ahead","Bin","percent","1.8","1.9",2e-04
"Alabama","1 wk ahead","Bin","percent","1.9","2.0",5e-04
"Alabama","1 wk ahead","Bin","percent","2.0","2.1",2e-04
"Alabama","1 wk ahead","Bin","percent","2.1","2.2",5e-04
"Alabama","1 wk ahead","Bin","percent","2.2","2.3",2e-04
"Alabama","1 wk ahead","Bin","percent","2.3","2.4",1e-04
"Alabama","1 wk ahead","Bin","percent","2.4","2.5",1e-04
"Alabama","1 wk ahead","Bin","percent","2.5","2.6",3e-04
"Alabama","1 wk ahead","Bin","percent","2.6","2.7",1e-04
"Alabama","1 wk ahead","Bin","percent","2.7","2.8",1e-04
"Alabama","1 wk ahead","Bin","percent","2.8","2.9",2e-04
"Alabama","1 wk ahead","Bin","percent","2.9","3.0",1e-04
"Alabama","1 wk ahead","Bin","percent","3.0","3.1",5e-04
"Alabama","1 wk ahead","Bin","percent","3.1","3.2",2e-04
"Alabama","1 wk ahead","Bin","percent","3.2","3.3",2e-04
"Alabama","1 wk ahead","Bin","percent","3.3","3.4",3e-04
"Alabama","1 wk ahead","Bin","percent","3.4","3.5",4e-04
"Alabama","1 wk ahead","Bin","percent","3.5","3.6",2e-04
"Alabama","1 wk ahead","Bin","percent","3.6","3.7",5e-04
"Alabama","1 wk ahead","Bin","percent","3.7","3.8",6e-04
"Alabama","1 wk ahead","Bin","percent","3.8","3.9",0
"Alabama","1 wk ahead","Bin","percent","3.9","4.0",2e-04
"Alabama","1 wk ahead","Bin","percent","4.0","4.1",0
"Alabama","1 wk ahead","Bin","percent","4.1","4.2",6e-04
"Alabama","1 wk ahead","Bin","percent","4.2","4.3",9e-04
"Alabama","1 wk ahead","Bin","percent","4.3","4.4",4e-04
"Alabama","1 wk ahead","Bin","percent","4.4","4.5",4e-04
"Alabama","1 wk ahead","Bin","percent","4.5","4.6",5e-04
"Alabama","1 wk ahead","Bin","percent","4.6","4.7",8e-04
"Alabama","1 wk ahead","Bin","percent","4.7","4.8",6e-04
"Alabama","1 wk ahead","Bin","percent","4.8","4.9",5e-04
"Alabama","1 wk ahead","Bin","percent","4.9","5.0",4e-04
"Alabama","1 wk ahead","Bin","percent","5.0","5.1",8e-04
"Alabama","1 wk ahead","Bin","percent","5.1","5.2",9e-04
"Alabama","1 wk ahead","Bin","percent","5.2","5.3",6e-04
"Alabama","1 wk ahead","Bin","percent","5.3","5.4",4e-04
"Alabama","1 wk ahead","Bin","percent","5.4","5.5",5e-04
"Alabama","1 wk ahead","Bin","percent","5.5","5.6",4e-04
"Alabama","1 wk ahead","Bin","percent","5.6","5.7",5e-04
"Alabama","1 wk ahead","Bin","percent","5.7","5.8",5e-04
"Alabama","1 wk ahead","Bin","percent","5.8","5.9",8e-04
"Alabama","1 wk ahead","Bin","percent","5.9","6.0",5e-04
"Alabama","1 wk ahead","Bin","percent","6.0","6.1",7e-04
"Alabama","1 wk ahead","Bin","percent","6.1","6.2",5e-04
"Alabama","1 wk ahead","Bin","percent","6.2","6.3",0.0011
"Alabama","1 wk ahead","Bin","percent","6.3","6.4",0.0013
"Alabama","1 wk ahead","Bin","percent","6.4","6.5",0.0034
"Alabama","1 wk ahead","Bin","percent","6.5","6.6",0.0021
"Alabama","1 wk ahead","Bin","percent","6.6","6.7",0.003
"Alabama","1 wk ahead","Bin","percent","6.7","6.8",0.0041
"Alabama","1 wk ahead","Bin","percent","6.8","6.9",0.0044
"Alabama","1 wk ahead","Bin","percent","6.9","7.0",0.005
"Alabama","1 wk ahead","Bin","percent","7.0","7.1",0.0067
"Alabama","1 wk ahead","Bin","percent","7.1","7.2",0.008
"Alabama","1 wk ahead","Bin","percent","7.2","7.3",0.0084
"Alabama","1 wk ahead","Bin","percent","7.3","7.4",0.0094
"Alabama","1 wk ahead","Bin","percent","7.4","7.5",0.0091
"Alabama","1 wk ahead","Bin","percent","7.5","7.6",0.0091
"Alabama","1 wk ahead","Bin","percent","7.6","7.7",0.0088
"Alabama","1 wk ahead","Bin","percent","7.7","7.8",0
"Alabama","1 wk ahead","Bin","percent","7.8","7.9",0.0093
"Alabama","1 wk ahead","Bin","percent","7.9","8.0",0.0097
"Alabama","1 wk ahead","Bin","percent","8.0","8.1",0.0101
"Alabama","1 wk ahead","Bin","percent","8.1","8.2",0.0092
"Alabama","1 wk ahead","Bin","percent","8.2","8.3",0.0093
"Alabama","1 wk ahead","Bin","percent","8.3","8.4",0.009
"Alabama","1 wk ahead","Bin","percent","8.4","8.5",0.0107
"Alabama","1 wk ahead","Bin","percent","8.5","8.6",0.0102
"Alabama","1 wk ahead","Bin","percent","8.6","8.7",0.0099
"Alabama","1 wk ahead","Bin","percent","8.7","8.8",0.0095
"Alabama","1 wk ahead","Bin","percent","8.8","8.9",0.0125
"Alabama","1 wk ahead","Bin","percent","8.9","9.0",0.0137
"Alabama","1 wk ahead","Bin","percent","9.0","9.1",0.0125
"Alabama","1 wk ahead","Bin","percent","9.1","9.2",0.0127
"Alabama","1 wk ahead","Bin","percent","9.2","9.3",0.0148
"Alabama","1 wk ahead","Bin","percent","9.3","9.4",0.016
"Alabama","1 wk ahead","Bin","percent","9.4","9.5",0.0172
"Alabama","1 wk ahead","Bin","percent","9.5","9.6",0.0172
"Alabama","1 wk ahead","Bin","percent","9.6","9.7",0.0177
"Alabama","1 wk ahead","Bin","percent","9.7","9.8",0.0187
"Alabama","1 wk ahead","Bin","percent","9.8","9.9",0.0209
"Alabama","1 wk ahead","Bin","percent","9.9","10.0",0.0217
"Alabama","1 wk ahead","Bin","percent","10.0","10.1",0.0204
"Alabama","1 wk ahead","Bin","percent","10.1","10.2",0.0224
"Alabama","1 wk ahead","Bin","percent","10.2","10.3",0.0205
"Alabama","1 wk ahead","Bin","percent","10.3","10.4",0.0201
"Alabama","1 wk ahead","Bin","percent","10.4","10.5",0.0208
"Alabama","1 wk ahead","Bin","percent","10.5","10.6",0.0224
"Alabama","1 wk ahead","Bin","percent","10.6","10.7",0.0179
"Alabama","1 wk ahead","Bin","percent","10.7","10.8",0.0205
"Alabama","1 wk ahead","Bin","percent","10.8","10.9",0.0198
"Alabama","1 wk ahead","Bin","percent","10.9","11.0",0.0191
"Alabama","1 wk ahead","Bin","percent","11.0","11.1",0.0162
"Alabama","1 wk ahead","Bin","percent","11.1","11.2",0.0168
"Alabama","1 wk ahead","Bin","percent","11.2","11.3",0.0151
"Alabama","1 wk ahead","Bin","percent","11.3","11.4",0.0165
"Alabama","1 wk ahead","Bin","percent","11.4","11.5",0.0179
"Alabama","1 wk ahead","Bin","percent","11.5","11.6",0
"Alabama","1 wk ahead","Bin","percent","11.6","11.7",0.0153
"Alabama","1 wk ahead","Bin","percent","11.7","11.8",0.0158
"Alabama","1 wk ahead","Bin","percent","11.8","11.9",0.0159
"Alabama","1 wk ahead","Bin","percent","11.9","12.0",0.0125
"Alabama","1 wk ahead","Bin","percent","12.0","12.1",0.0141
"Alabama","1 wk ahead","Bin","percent","12.1","12.2",0.012
"Alabama","1 wk ahead","Bin","percent","12.2","12.3",0.0126
"Alabama","1 wk ahead","Bin","percent","12.3","12.4",0.0137
"Alabama","1 wk ahead","Bin","percent","12.4","12.5",0.0127
"Alabama","1 wk ahead","Bin","percent","12.5","12.6",0.0142
"Alabama","1 wk ahead","Bin","percent","12.6","12.7",0.0111
"Alabama","1 wk ahead","Bin","percent","12.7","12.8",0.0145
"Alabama","1 wk ahead","Bin","percent","12.8","12.9",0.0112
"Alabama","1 wk ahead","Bin","percent","12.9","13.0",0.0103
"Alabama","1 wk ahead","Bin","percent","13.0","100.0",0.131
"Alabama","2 wk ahead","Point","percent",NA,NA,9.7
"Alabama","2 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","2 wk ahead","Bin","percent","0.1","0.2",2e-04
"Alabama","2 wk ahead","Bin","percent","0.2","0.3",2e-04
"Alabama","2 wk ahead","Bin","percent","0.3","0.4",3e-04
"Alabama","2 wk ahead","Bin","percent","0.4","0.5",1e-04
"Alabama","2 wk ahead","Bin","percent","0.5","0.6",3e-04
"Alabama","2 wk ahead","Bin","percent","0.6","0.7",2e-04
"Alabama","2 wk ahead","Bin","percent","0.7","0.8",4e-04
"Alabama","2 wk ahead","Bin","percent","0.8","0.9",1e-04
"Alabama","2 wk ahead","Bin","percent","0.9","1.0",1e-04
"Alabama","2 wk ahead","Bin","percent","1.0","1.1",3e-04
"Alabama","2 wk ahead","Bin","percent","1.1","1.2",3e-04
"Alabama","2 wk ahead","Bin","percent","1.2","1.3",5e-04
"Alabama","2 wk ahead","Bin","percent","1.3","1.4",4e-04
"Alabama","2 wk ahead","Bin","percent","1.4","1.5",7e-04
"Alabama","2 wk ahead","Bin","percent","1.5","1.6",5e-04
"Alabama","2 wk ahead","Bin","percent","1.6","1.7",3e-04
"Alabama","2 wk ahead","Bin","percent","1.7","1.8",5e-04
"Alabama","2 wk ahead","Bin","percent","1.8","1.9",6e-04
"Alabama","2 wk ahead","Bin","percent","1.9","2.0",3e-04
"Alabama","2 wk ahead","Bin","percent","2.0","2.1",5e-04
"Alabama","2 wk ahead","Bin","percent","2.1","2.2",7e-04
"Alabama","2 wk ahead","Bin","percent","2.2","2.3",4e-04
"Alabama","2 wk ahead","Bin","percent","2.3","2.4",6e-04
"Alabama","2 wk ahead","Bin","percent","2.4","2.5",4e-04
"Alabama","2 wk ahead","Bin","percent","2.5","2.6",6e-04
"Alabama","2 wk ahead","Bin","percent","2.6","2.7",0.0011
"Alabama","2 wk ahead","Bin","percent","2.7","2.8",4e-04
"Alabama","2 wk ahead","Bin","percent","2.8","2.9",6e-04
"Alabama","2 wk ahead","Bin","percent","2.9","3.0",8e-04
"Alabama","2 wk ahead","Bin","percent","3.0","3.1",0.0011
"Alabama","2 wk ahead","Bin","percent","3.1","3.2",0.001
"Alabama","2 wk ahead","Bin","percent","3.2","3.3",6e-04
"Alabama","2 wk ahead","Bin","percent","3.3","3.4",0.0014
"Alabama","2 wk ahead","Bin","percent","3.4","3.5",6e-04
"Alabama","2 wk ahead","Bin","percent","3.5","3.6",0.0014
"Alabama","2 wk ahead","Bin","percent","3.6","3.7",0.0011
"Alabama","2 wk ahead","Bin","percent","3.7","3.8",0.0012
"Alabama","2 wk ahead","Bin","percent","3.8","3.9",0
"Alabama","2 wk ahead","Bin","percent","3.9","4.0",0.0018
"Alabama","2 wk ahead","Bin","percent","4.0","4.1",0.001
"Alabama","2 wk ahead","Bin","percent","4.1","4.2",0.0015
"Alabama","2 wk ahead","Bin","percent","4.2","4.3",0.0018
"Alabama","2 wk ahead","Bin","percent","4.3","4.4",0.0013
"Alabama","2 wk ahead","Bin","percent","4.4","4.5",0.0012
"Alabama","2 wk ahead","Bin","percent","4.5","4.6",0.0018
"Alabama","2 wk ahead","Bin","percent","4.6","4.7",0.0013
"Alabama","2 wk ahead","Bin","percent","4.7","4.8",0.002
"Alabama","2 wk ahead","Bin","percent","4.8","4.9",0.0019
"Alabama","2 wk ahead","Bin","percent","4.9","5.0",0.0021
"Alabama","2 wk ahead","Bin","percent","5.0","5.1",0.0021
"Alabama","2 wk ahead","Bin","percent","5.1","5.2",0.0026
"Alabama","2 wk ahead","Bin","percent","5.2","5.3",0.0028
"Alabama","2 wk ahead","Bin","percent","5.3","5.4",0.002
"Alabama","2 wk ahead","Bin","percent","5.4","5.5",0.0023
"Alabama","2 wk ahead","Bin","percent","5.5","5.6",0.0028
"Alabama","2 wk ahead","Bin","percent","5.6","5.7",0.0024
"Alabama","2 wk ahead","Bin","percent","5.7","5.8",0.0037
"Alabama","2 wk ahead","Bin","percent","5.8","5.9",0.0042
"Alabama","2 wk ahead","Bin","percent","5.9","6.0",0.0038
"Alabama","2 wk ahead","Bin","percent","6.0","6.1",0.0037
"Alabama","2 wk ahead","Bin","percent","6.1","6.2",0.0044
"Alabama","2 wk ahead","Bin","percent","6.2","6.3",0.004
"Alabama","2 wk ahead","Bin","percent","6.3","6.4",0.0061
"Alabama","2 wk ahead","Bin","percent","6.4","6.5",0.0052
"Alabama","2 wk ahead","Bin","percent","6.5","6.6",0.0058
"Alabama","2 wk ahead","Bin","percent","6.6","6.7",0.0057
"Alabama","2 wk ahead","Bin","percent","6.7","6.8",0.0091
"Alabama","2 wk ahead","Bin","percent","6.8","6.9",0.0072
"Alabama","2 wk ahead","Bin","percent","6.9","7.0",0.006
"Alabama","2 wk ahead","Bin","percent","7.0","7.1",0.0073
"Alabama","2 wk ahead","Bin","percent","7.1","7.2",0.0086
"Alabama","2 wk ahead","Bin","percent","7.2","7.3",0.0085
"Alabama","2 wk ahead","Bin","percent","7.3","7.4",0.0091
"Alabama","2 wk ahead","Bin","percent","7.4","7.5",0.0086
"Alabama","2 wk ahead","Bin","percent","7.5","7.6",0.0095
"Alabama","2 wk ahead","Bin","percent","7.6","7.7",0.0116
"Alabama","2 wk ahead","Bin","percent","7.7","7.8",0
"Alabama","2 wk ahead","Bin","percent","7.8","7.9",0.0119
"Alabama","2 wk ahead","Bin","percent","7.9","8.0",0.0132
"Alabama","2 wk ahead","Bin","percent","8.0","8.1",0.0135
"Alabama","2 wk ahead","Bin","percent","8.1","8.2",0.0147
"Alabama","2 wk ahead","Bin","percent","8.2","8.3",0.0158
"Alabama","2 wk ahead","Bin","percent","8.3","8.4",0.0144
"Alabama","2 wk ahead","Bin","percent","8.4","8.5",0.0161
"Alabama","2 wk ahead","Bin","percent","8.5","8.6",0.0151
"Alabama","2 wk ahead","Bin","percent","8.6","8.7",0.0161
"Alabama","2 wk ahead","Bin","percent","8.7","8.8",0.0166
"Alabama","2 wk ahead","Bin","percent","8.8","8.9",0.0176
"Alabama","2 wk ahead","Bin","percent","8.9","9.0",0.0166
"Alabama","2 wk ahead","Bin","percent","9.0","9.1",0.0175
"Alabama","2 wk ahead","Bin","percent","9.1","9.2",0.0161
"Alabama","2 wk ahead","Bin","percent","9.2","9.3",0.0207
"Alabama","2 wk ahead","Bin","percent","9.3","9.4",0.0178
"Alabama","2 wk ahead","Bin","percent","9.4","9.5",0.017
"Alabama","2 wk ahead","Bin","percent","9.5","9.6",0.0173
"Alabama","2 wk ahead","Bin","percent","9.6","9.7",0.02
"Alabama","2 wk ahead","Bin","percent","9.7","9.8",0.022
"Alabama","2 wk ahead","Bin","percent","9.8","9.9",0.0206
"Alabama","2 wk ahead","Bin","percent","9.9","10.0",0.0183
"Alabama","2 wk ahead","Bin","percent","10.0","10.1",0.0186
"Alabama","2 wk ahead","Bin","percent","10.1","10.2",0.0193
"Alabama","2 wk ahead","Bin","percent","10.2","10.3",0.0188
