"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Alabama","1 wk ahead","Point","percent",NA,NA,3.3
"Alabama","1 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","1 wk ahead","Bin","percent","0.1","0.2",0.0021
"Alabama","1 wk ahead","Bin","percent","0.2","0.3",0.0017
"Alabama","1 wk ahead","Bin","percent","0.3","0.4",0.0018
"Alabama","1 wk ahead","Bin","percent","0.4","0.5",7e-04
"Alabama","1 wk ahead","Bin","percent","0.5","0.6",7e-04
"Alabama","1 wk ahead","Bin","percent","0.6","0.7",6e-04
"Alabama","1 wk ahead","Bin","percent","0.7","0.8",6e-04
"Alabama","1 wk ahead","Bin","percent","0.8","0.9",6e-04
"Alabama","1 wk ahead","Bin","percent","0.9","1.0",4e-04
"Alabama","1 wk ahead","Bin","percent","1.0","1.1",4e-04
"Alabama","1 wk ahead","Bin","percent","1.1","1.2",4e-04
"Alabama","1 wk ahead","Bin","percent","1.2","1.3",4e-04
"Alabama","1 wk ahead","Bin","percent","1.3","1.4",9e-04
"Alabama","1 wk ahead","Bin","percent","1.4","1.5",0.0012
"Alabama","1 wk ahead","Bin","percent","1.5","1.6",9e-04
"Alabama","1 wk ahead","Bin","percent","1.6","1.7",0.0023
"Alabama","1 wk ahead","Bin","percent","1.7","1.8",0.0043
"Alabama","1 wk ahead","Bin","percent","1.8","1.9",0.0059
"Alabama","1 wk ahead","Bin","percent","1.9","2.0",0.0094
"Alabama","1 wk ahead","Bin","percent","2.0","2.1",0.0099
"Alabama","1 wk ahead","Bin","percent","2.1","2.2",0.0118
"Alabama","1 wk ahead","Bin","percent","2.2","2.3",0.0137
"Alabama","1 wk ahead","Bin","percent","2.3","2.4",0.0183
"Alabama","1 wk ahead","Bin","percent","2.4","2.5",0.0231
"Alabama","1 wk ahead","Bin","percent","2.5","2.6",0.0303
"Alabama","1 wk ahead","Bin","percent","2.6","2.7",0.0345
"Alabama","1 wk ahead","Bin","percent","2.7","2.8",0.0492
"Alabama","1 wk ahead","Bin","percent","2.8","2.9",0.0558
"Alabama","1 wk ahead","Bin","percent","2.9","3.0",0
"Alabama","1 wk ahead","Bin","percent","3.0","3.1",0.0591
"Alabama","1 wk ahead","Bin","percent","3.1","3.2",0.0565
