"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Alabama","1 wk ahead","Point","percent",NA,NA,3.4
"Alabama","1 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","1 wk ahead","Bin","percent","0.1","0.2",4e-04
"Alabama","1 wk ahead","Bin","percent","0.2","0.3",9e-04
"Alabama","1 wk ahead","Bin","percent","0.3","0.4",0.001
"Alabama","1 wk ahead","Bin","percent","0.4","0.5",7e-04
"Alabama","1 wk ahead","Bin","percent","0.5","0.6",8e-04
"Alabama","1 wk ahead","Bin","percent","0.6","0.7",5e-04
"Alabama","1 wk ahead","Bin","percent","0.7","0.8",8e-04
"Alabama","1 wk ahead","Bin","percent","0.8","0.9",0.001
"Alabama","1 wk ahead","Bin","percent","0.9","1.0",9e-04
"Alabama","1 wk ahead","Bin","percent","1.0","1.1",6e-04
"Alabama","1 wk ahead","Bin","percent","1.1","1.2",8e-04
"Alabama","1 wk ahead","Bin","percent","1.2","1.3",8e-04
"Alabama","1 wk ahead","Bin","percent","1.3","1.4",9e-04
"Alabama","1 wk ahead","Bin","percent","1.4","1.5",0.0019
"Alabama","1 wk ahead","Bin","percent","1.5","1.6",0.0029
"Alabama","1 wk ahead","Bin","percent","1.6","1.7",0.0034
"Alabama","1 wk ahead","Bin","percent","1.7","1.8",0.0053
"Alabama","1 wk ahead","Bin","percent","1.8","1.9",0.0056
"Alabama","1 wk ahead","Bin","percent","1.9","2.0",0.0073
"Alabama","1 wk ahead","Bin","percent","2.0","2.1",0.0106
"Alabama","1 wk ahead","Bin","percent","2.1","2.2",0.0124
"Alabama","1 wk ahead","Bin","percent","2.2","2.3",0.0155
"Alabama","1 wk ahead","Bin","percent","2.3","2.4",0.0205
"Alabama","1 wk ahead","Bin","percent","2.4","2.5",0.0226
"Alabama","1 wk ahead","Bin","percent","2.5","2.6",0.0238
"Alabama","1 wk ahead","Bin","percent","2.6","2.7",0.03
"Alabama","1 wk ahead","Bin","percent","2.7","2.8",0.0306
"Alabama","1 wk ahead","Bin","percent","2.8","2.9",0.0342
"Alabama","1 wk ahead","Bin","percent","2.9","3.0",0.0382
"Alabama","1 wk ahead","Bin","percent","3.0","3.1",0.0408
"Alabama","1 wk ahead","Bin","percent","3.1","3.2",0.0434
"Alabama","1 wk ahead","Bin","percent","3.2","3.3",0.046
