"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Alabama","1 wk ahead","Point","percent",NA,NA,2.4
"Alabama","1 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","1 wk ahead","Bin","percent","0.1","0.2",7e-04
"Alabama","1 wk ahead","Bin","percent","0.2","0.3",0.0016
"Alabama","1 wk ahead","Bin","percent","0.3","0.4",0.0023
"Alabama","1 wk ahead","Bin","percent","0.4","0.5",0.0036
"Alabama","1 wk ahead","Bin","percent","0.5","0.6",0.0041
"Alabama","1 wk ahead","Bin","percent","0.6","0.7",0.005
"Alabama","1 wk ahead","Bin","percent","0.7","0.8",0.0065
"Alabama","1 wk ahead","Bin","percent","0.8","0.9",0.0067
"Alabama","1 wk ahead","Bin","percent","0.9","1.0",0.0107
"Alabama","1 wk ahead","Bin","percent","1.0","1.1",0.011
"Alabama","1 wk ahead","Bin","percent","1.1","1.2",0.0168
"Alabama","1 wk ahead","Bin","percent","1.2","1.3",0.0188
"Alabama","1 wk ahead","Bin","percent","1.3","1.4",0.0208
"Alabama","1 wk ahead","Bin","percent","1.4","1.5",0.0234
"Alabama","1 wk ahead","Bin","percent","1.5","1.6",0.0298
"Alabama","1 wk ahead","Bin","percent","1.6","1.7",0.0311
"Alabama","1 wk ahead","Bin","percent","1.7","1.8",0.0337
"Alabama","1 wk ahead","Bin","percent","1.8","1.9",0.0364
"Alabama","1 wk ahead","Bin","percent","1.9","2.0",0.0416
"Alabama","1 wk ahead","Bin","percent","2.0","2.1",0.0431
"Alabama","1 wk ahead","Bin","percent","2.1","2.2",0.0499
"Alabama","1 wk ahead","Bin","percent","2.2","2.3",0.0499
"Alabama","1 wk ahead","Bin","percent","2.3","2.4",0.0461
"Alabama","1 wk ahead","Bin","percent","2.4","2.5",0.0446
"Alabama","1 wk ahead","Bin","percent","2.5","2.6",0.0463
"Alabama","1 wk ahead","Bin","percent","2.6","2.7",0.0411
"Alabama","1 wk ahead","Bin","percent","2.7","2.8",0.0424
"Alabama","1 wk ahead","Bin","percent","2.8","2.9",0.0392
"Alabama","1 wk ahead","Bin","percent","2.9","3.0",0.0368
"Alabama","1 wk ahead","Bin","percent","3.0","3.1",0.035
"Alabama","1 wk ahead","Bin","percent","3.1","3.2",0.0284
"Alabama","1 wk ahead","Bin","percent","3.2","3.3",0.0238
"Alabama","1 wk ahead","Bin","percent","3.3","3.4",0.0221
"Alabama","1 wk ahead","Bin","percent","3.4","3.5",0.019
"Alabama","1 wk ahead","Bin","percent","3.5","3.6",0.0192
"Alabama","1 wk ahead","Bin","percent","3.6","3.7",0.0132
"Alabama","1 wk ahead","Bin","percent","3.7","3.8",0.0119
"Alabama","1 wk ahead","Bin","percent","3.8","3.9",0.0088
"Alabama","1 wk ahead","Bin","percent","3.9","4.0",0.0076
"Alabama","1 wk ahead","Bin","percent","4.0","4.1",0.0054
"Alabama","1 wk ahead","Bin","percent","4.1","4.2",0.003
"Alabama","1 wk ahead","Bin","percent","4.2","4.3",0.0027
"Alabama","1 wk ahead","Bin","percent","4.3","4.4",0.0019
"Alabama","1 wk ahead","Bin","percent","4.4","4.5",0.0015
"Alabama","1 wk ahead","Bin","percent","4.5","4.6",0.0014
"Alabama","1 wk ahead","Bin","percent","4.6","4.7",4e-04
"Alabama","1 wk ahead","Bin","percent","4.7","4.8",0.001
"Alabama","1 wk ahead","Bin","percent","4.8","4.9",4e-04
"Alabama","1 wk ahead","Bin","percent","4.9","5.0",0.0012
"Alabama","1 wk ahead","Bin","percent","5.0","5.1",0.0011
"Alabama","1 wk ahead","Bin","percent","5.1","5.2",5e-04
"Alabama","1 wk ahead","Bin","percent","5.2","5.3",0.001
"Alabama","1 wk ahead","Bin","percent","5.3","5.4",9e-04
"Alabama","1 wk ahead","Bin","percent","5.4","5.5",1e-04
"Alabama","1 wk ahead","Bin","percent","5.5","5.6",7e-04
"Alabama","1 wk ahead","Bin","percent","5.6","5.7",0.0011
"Alabama","1 wk ahead","Bin","percent","5.7","5.8",3e-04
"Alabama","1 wk ahead","Bin","percent","5.8","5.9",5e-04
"Alabama","1 wk ahead","Bin","percent","5.9","6.0",6e-04
"Alabama","1 wk ahead","Bin","percent","6.0","6.1",8e-04
"Alabama","1 wk ahead","Bin","percent","6.1","6.2",5e-04
"Alabama","1 wk ahead","Bin","percent","6.2","6.3",3e-04
"Alabama","1 wk ahead","Bin","percent","6.3","6.4",5e-04
"Alabama","1 wk ahead","Bin","percent","6.4","6.5",2e-04
"Alabama","1 wk ahead","Bin","percent","6.5","6.6",9e-04
"Alabama","1 wk ahead","Bin","percent","6.6","6.7",9e-04
"Alabama","1 wk ahead","Bin","percent","6.7","6.8",4e-04
"Alabama","1 wk ahead","Bin","percent","6.8","6.9",0
"Alabama","1 wk ahead","Bin","percent","6.9","7.0",6e-04
"Alabama","1 wk ahead","Bin","percent","7.0","7.1",1e-04
"Alabama","1 wk ahead","Bin","percent","7.1","7.2",5e-04
"Alabama","1 wk ahead","Bin","percent","7.2","7.3",3e-04
"Alabama","1 wk ahead","Bin","percent","7.3","7.4",5e-04
"Alabama","1 wk ahead","Bin","percent","7.4","7.5",1e-04
"Alabama","1 wk ahead","Bin","percent","7.5","7.6",7e-04
"Alabama","1 wk ahead","Bin","percent","7.6","7.7",4e-04
"Alabama","1 wk ahead","Bin","percent","7.7","7.8",0.0012
"Alabama","1 wk ahead","Bin","percent","7.8","7.9",2e-04
"Alabama","1 wk ahead","Bin","percent","7.9","8.0",4e-04
"Alabama","1 wk ahead","Bin","percent","8.0","8.1",9e-04
"Alabama","1 wk ahead","Bin","percent","8.1","8.2",3e-04
"Alabama","1 wk ahead","Bin","percent","8.2","8.3",0.001
"Alabama","1 wk ahead","Bin","percent","8.3","8.4",7e-04
"Alabama","1 wk ahead","Bin","percent","8.4","8.5",2e-04
"Alabama","1 wk ahead","Bin","percent","8.5","8.6",8e-04
"Alabama","1 wk ahead","Bin","percent","8.6","8.7",4e-04
"Alabama","1 wk ahead","Bin","percent","8.7","8.8",9e-04
"Alabama","1 wk ahead","Bin","percent","8.8","8.9",0.0011
"Alabama","1 wk ahead","Bin","percent","8.9","9.0",2e-04
"Alabama","1 wk ahead","Bin","percent","9.0","9.1",4e-04
"Alabama","1 wk ahead","Bin","percent","9.1","9.2",5e-04
"Alabama","1 wk ahead","Bin","percent","9.2","9.3",5e-04
"Alabama","1 wk ahead","Bin","percent","9.3","9.4",5e-04
"Alabama","1 wk ahead","Bin","percent","9.4","9.5",0.001
"Alabama","1 wk ahead","Bin","percent","9.5","9.6",8e-04
"Alabama","1 wk ahead","Bin","percent","9.6","9.7",4e-04
"Alabama","1 wk ahead","Bin","percent","9.7","9.8",6e-04
"Alabama","1 wk ahead","Bin","percent","9.8","9.9",4e-04
"Alabama","1 wk ahead","Bin","percent","9.9","10.0",4e-04
"Alabama","1 wk ahead","Bin","percent","10.0","10.1",9e-04
"Alabama","1 wk ahead","Bin","percent","10.1","10.2",5e-04
"Alabama","1 wk ahead","Bin","percent","10.2","10.3",0.001
"Alabama","1 wk ahead","Bin","percent","10.3","10.4",6e-04
"Alabama","1 wk ahead","Bin","percent","10.4","10.5",7e-04
"Alabama","1 wk ahead","Bin","percent","10.5","10.6",0.001
"Alabama","1 wk ahead","Bin","percent","10.6","10.7",4e-04
"Alabama","1 wk ahead","Bin","percent","10.7","10.8",8e-04
"Alabama","1 wk ahead","Bin","percent","10.8","10.9",5e-04
"Alabama","1 wk ahead","Bin","percent","10.9","11.0",7e-04
"Alabama","1 wk ahead","Bin","percent","11.0","11.1",8e-04
"Alabama","1 wk ahead","Bin","percent","11.1","11.2",2e-04
"Alabama","1 wk ahead","Bin","percent","11.2","11.3",6e-04
"Alabama","1 wk ahead","Bin","percent","11.3","11.4",8e-04
"Alabama","1 wk ahead","Bin","percent","11.4","11.5",8e-04
"Alabama","1 wk ahead","Bin","percent","11.5","11.6",3e-04
"Alabama","1 wk ahead","Bin","percent","11.6","11.7",6e-04
"Alabama","1 wk ahead","Bin","percent","11.7","11.8",6e-04
"Alabama","1 wk ahead","Bin","percent","11.8","11.9",8e-04
"Alabama","1 wk ahead","Bin","percent","11.9","12.0",7e-04
"Alabama","1 wk ahead","Bin","percent","12.0","12.1",5e-04
"Alabama","1 wk ahead","Bin","percent","12.1","12.2",6e-04
"Alabama","1 wk ahead","Bin","percent","12.2","12.3",8e-04
"Alabama","1 wk ahead","Bin","percent","12.3","12.4",3e-04
