"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Alabama","1 wk ahead","Bin","percent","6.6","6.7",0.113
"Alabama","1 wk ahead","Bin","percent","6.7","6.8",0.1196
"Alabama","1 wk ahead","Bin","percent","6.8","6.9",0.1099
"Alabama","1 wk ahead","Bin","percent","6.9","7.0",0.0953
"Alabama","1 wk ahead","Bin","percent","7.0","7.1",0.0826
"Alabama","1 wk ahead","Bin","percent","7.1","7.2",0.0623
"Alabama","1 wk ahead","Bin","percent","7.2","7.3",0.0397
"Alabama","1 wk ahead","Bin","percent","7.3","7.4",0.0237
"Alabama","1 wk ahead","Bin","percent","7.4","7.5",0.0149
"Alabama","1 wk ahead","Bin","percent","7.5","7.6",0.0069
"Alabama","1 wk ahead","Bin","percent","7.6","7.7",0.0042
"Alabama","1 wk ahead","Bin","percent","7.7","7.8",0.0027
"Alabama","1 wk ahead","Bin","percent","7.8","7.9",0.0011
"Alabama","1 wk ahead","Bin","percent","7.9","8.0",5e-04
"Alabama","1 wk ahead","Bin","percent","8.0","8.1",3e-04
"Alabama","1 wk ahead","Bin","percent","8.1","8.2",0
"Alabama","1 wk ahead","Bin","percent","8.2","8.3",0
"Alabama","1 wk ahead","Bin","percent","8.3","8.4",0
"Alabama","1 wk ahead","Bin","percent","8.4","8.5",0
"Alabama","1 wk ahead","Bin","percent","8.5","8.6",0
"Alabama","1 wk ahead","Bin","percent","8.6","8.7",0
"Alabama","1 wk ahead","Bin","percent","8.7","8.8",0
"Alabama","1 wk ahead","Bin","percent","8.8","8.9",0
"Alabama","1 wk ahead","Bin","percent","8.9","9.0",0
"Alabama","1 wk ahead","Bin","percent","9.0","9.1",0
"Alabama","1 wk ahead","Bin","percent","9.1","9.2",0
"Alabama","1 wk ahead","Bin","percent","9.2","9.3",0
"Alabama","1 wk ahead","Bin","percent","9.3","9.4",0
"Alabama","1 wk ahead","Bin","percent","9.4","9.5",0
"Alabama","1 wk ahead","Bin","percent","9.5","9.6",0
"Alabama","1 wk ahead","Bin","percent","9.6","9.7",0
"Alabama","1 wk ahead","Bin","percent","9.7","9.8",0
"Alabama","1 wk ahead","Bin","percent","9.8","9.9",0
"Alabama","1 wk ahead","Bin","percent","9.9","10.0",0
"Alabama","1 wk ahead","Bin","percent","10.0","10.1",0
"Alabama","1 wk ahead","Bin","percent","10.1","10.2",0
"Alabama","1 wk ahead","Bin","percent","10.2","10.3",0
"Alabama","1 wk ahead","Bin","percent","10.3","10.4",0
"Alabama","1 wk ahead","Bin","percent","10.4","10.5",0
"Alabama","1 wk ahead","Bin","percent","10.5","10.6",0
"Alabama","1 wk ahead","Bin","percent","10.6","10.7",0
"Alabama","1 wk ahead","Bin","percent","10.7","10.8",0
"Alabama","1 wk ahead","Bin","percent","10.8","10.9",0
"Alabama","1 wk ahead","Bin","percent","10.9","11.0",0
"Alabama","1 wk ahead","Bin","percent","11.0","11.1",0
"Alabama","1 wk ahead","Bin","percent","11.1","11.2",0
"Alabama","1 wk ahead","Bin","percent","11.2","11.3",0
"Alabama","1 wk ahead","Bin","percent","11.3","11.4",0
"Alabama","1 wk ahead","Bin","percent","11.4","11.5",0
"Alabama","1 wk ahead","Bin","percent","11.5","11.6",0
"Alabama","1 wk ahead","Bin","percent","11.6","11.7",0
"Alabama","1 wk ahead","Bin","percent","11.7","11.8",0
"Alabama","1 wk ahead","Bin","percent","11.8","11.9",0
"Alabama","1 wk ahead","Bin","percent","11.9","12.0",0
"Alabama","1 wk ahead","Bin","percent","12.0","12.1",0
"Alabama","1 wk ahead","Bin","percent","12.1","12.2",0
"Alabama","1 wk ahead","Bin","percent","12.2","12.3",0
"Alabama","1 wk ahead","Bin","percent","12.3","12.4",0
"Alabama","1 wk ahead","Bin","percent","12.4","12.5",0
"Alabama","1 wk ahead","Bin","percent","12.5","12.6",0
"Alabama","1 wk ahead","Bin","percent","12.6","12.7",0
"Alabama","1 wk ahead","Bin","percent","12.7","12.8",0
"Alabama","1 wk ahead","Bin","percent","12.8","12.9",0
"Alabama","1 wk ahead","Bin","percent","12.9","13.0",0
"Alabama","1 wk ahead","Bin","percent","13.0","100.0",0
"Alabama","2 wk ahead","Point","percent",NA,NA,6.2
"Alabama","2 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","2 wk ahead","Bin","percent","0.1","0.2",0
"Alabama","2 wk ahead","Bin","percent","0.2","0.3",0
"Alabama","2 wk ahead","Bin","percent","0.3","0.4",0
"Alabama","2 wk ahead","Bin","percent","0.4","0.5",0
"Alabama","2 wk ahead","Bin","percent","0.5","0.6",0
"Alabama","2 wk ahead","Bin","percent","0.6","0.7",0
"Alabama","2 wk ahead","Bin","percent","0.7","0.8",0
"Alabama","2 wk ahead","Bin","percent","0.8","0.9",0
"Alabama","2 wk ahead","Bin","percent","0.9","1.0",0
"Alabama","2 wk ahead","Bin","percent","1.0","1.1",0
"Alabama","2 wk ahead","Bin","percent","1.1","1.2",0
"Alabama","2 wk ahead","Bin","percent","1.2","1.3",0
"Alabama","2 wk ahead","Bin","percent","1.3","1.4",0
"Alabama","2 wk ahead","Bin","percent","1.4","1.5",0
"Alabama","2 wk ahead","Bin","percent","1.5","1.6",0
"Alabama","2 wk ahead","Bin","percent","1.6","1.7",0
"Alabama","2 wk ahead","Bin","percent","1.7","1.8",0
"Alabama","2 wk ahead","Bin","percent","1.8","1.9",0
"Alabama","2 wk ahead","Bin","percent","1.9","2.0",0
"Alabama","2 wk ahead","Bin","percent","2.0","2.1",0
"Alabama","2 wk ahead","Bin","percent","2.1","2.2",0
"Alabama","2 wk ahead","Bin","percent","2.2","2.3",0
"Alabama","2 wk ahead","Bin","percent","2.3","2.4",0
"Alabama","2 wk ahead","Bin","percent","2.4","2.5",0
"Alabama","2 wk ahead","Bin","percent","2.5","2.6",0
"Alabama","2 wk ahead","Bin","percent","2.6","2.7",0
"Alabama","2 wk ahead","Bin","percent","2.7","2.8",0
"Alabama","2 wk ahead","Bin","percent","2.8","2.9",0
"Alabama","2 wk ahead","Bin","percent","2.9","3.0",0
"Alabama","2 wk ahead","Bin","percent","3.0","3.1",0
"Alabama","2 wk ahead","Bin","percent","3.1","3.2",0
"Alabama","2 wk ahead","Bin","percent","3.2","3.3",0
"Alabama","2 wk ahead","Bin","percent","3.3","3.4",0
"Alabama","2 wk ahead","Bin","percent","3.4","3.5",0
"Alabama","2 wk ahead","Bin","percent","3.5","3.6",0
"Alabama","2 wk ahead","Bin","percent","3.6","3.7",0
"Alabama","2 wk ahead","Bin","percent","3.7","3.8",0
"Alabama","2 wk ahead","Bin","percent","3.8","3.9",0
"Alabama","2 wk ahead","Bin","percent","3.9","4.0",0
"Alabama","2 wk ahead","Bin","percent","4.0","4.1",2e-04
"Alabama","2 wk ahead","Bin","percent","4.1","4.2",4e-04
"Alabama","2 wk ahead","Bin","percent","4.2","4.3",7e-04
"Alabama","2 wk ahead","Bin","percent","4.3","4.4",0.0021
"Alabama","2 wk ahead","Bin","percent","4.4","4.5",0.0016
"Alabama","2 wk ahead","Bin","percent","4.5","4.6",0.0028
"Alabama","2 wk ahead","Bin","percent","4.6","4.7",0.0041
"Alabama","2 wk ahead","Bin","percent","4.7","4.8",0.0078
"Alabama","2 wk ahead","Bin","percent","4.8","4.9",0.0086
"Alabama","2 wk ahead","Bin","percent","4.9","5.0",0.0139
"Alabama","2 wk ahead","Bin","percent","5.0","5.1",0.016
"Alabama","2 wk ahead","Bin","percent","5.1","5.2",0.019
"Alabama","2 wk ahead","Bin","percent","5.2","5.3",0.0268
"Alabama","2 wk ahead","Bin","percent","5.3","5.4",0.0329
"Alabama","2 wk ahead","Bin","percent","5.4","5.5",0.0385
"Alabama","2 wk ahead","Bin","percent","5.5","5.6",0.0436
"Alabama","2 wk ahead","Bin","percent","5.6","5.7",0.0446
"Alabama","2 wk ahead","Bin","percent","5.7","5.8",0
"Alabama","2 wk ahead","Bin","percent","5.8","5.9",0.0494
"Alabama","2 wk ahead","Bin","percent","5.9","6.0",0.0496
"Alabama","2 wk ahead","Bin","percent","6.0","6.1",0.0508
"Alabama","2 wk ahead","Bin","percent","6.1","6.2",0.0515
"Alabama","2 wk ahead","Bin","percent","6.2","6.3",0.0528
"Alabama","2 wk ahead","Bin","percent","6.3","6.4",0.056
"Alabama","2 wk ahead","Bin","percent","6.4","6.5",0.0503
"Alabama","2 wk ahead","Bin","percent","6.5","6.6",0.0432
"Alabama","2 wk ahead","Bin","percent","6.6","6.7",0.0462
"Alabama","2 wk ahead","Bin","percent","6.7","6.8",0.045
"Alabama","2 wk ahead","Bin","percent","6.8","6.9",0.0366
"Alabama","2 wk ahead","Bin","percent","6.9","7.0",0.0351
"Alabama","2 wk ahead","Bin","percent","7.0","7.1",0.0291
"Alabama","2 wk ahead","Bin","percent","7.1","7.2",0.0256
"Alabama","2 wk ahead","Bin","percent","7.2","7.3",0.0211
"Alabama","2 wk ahead","Bin","percent","7.3","7.4",0.017
"Alabama","2 wk ahead","Bin","percent","7.4","7.5",0.0153
"Alabama","2 wk ahead","Bin","percent","7.5","7.6",0.0129
"Alabama","2 wk ahead","Bin","percent","7.6","7.7",0.0103
"Alabama","2 wk ahead","Bin","percent","7.7","7.8",0.007
"Alabama","2 wk ahead","Bin","percent","7.8","7.9",0.0071
"Alabama","2 wk ahead","Bin","percent","7.9","8.0",0.0054
"Alabama","2 wk ahead","Bin","percent","8.0","8.1",0.0039
"Alabama","2 wk ahead","Bin","percent","8.1","8.2",0.0031
"Alabama","2 wk ahead","Bin","percent","8.2","8.3",0.0026
"Alabama","2 wk ahead","Bin","percent","8.3","8.4",0.0027
"Alabama","2 wk ahead","Bin","percent","8.4","8.5",0.0012
"Alabama","2 wk ahead","Bin","percent","8.5","8.6",0.0022
"Alabama","2 wk ahead","Bin","percent","8.6","8.7",9e-04
"Alabama","2 wk ahead","Bin","percent","8.7","8.8",7e-04
"Alabama","2 wk ahead","Bin","percent","8.8","8.9",3e-04
"Alabama","2 wk ahead","Bin","percent","8.9","9.0",6e-04
"Alabama","2 wk ahead","Bin","percent","9.0","9.1",3e-04
"Alabama","2 wk ahead","Bin","percent","9.1","9.2",2e-04
"Alabama","2 wk ahead","Bin","percent","9.2","9.3",3e-04
"Alabama","2 wk ahead","Bin","percent","9.3","9.4",0
"Alabama","2 wk ahead","Bin","percent","9.4","9.5",1e-04
"Alabama","2 wk ahead","Bin","percent","9.5","9.6",0
"Alabama","2 wk ahead","Bin","percent","9.6","9.7",0
"Alabama","2 wk ahead","Bin","percent","9.7","9.8",0
"Alabama","2 wk ahead","Bin","percent","9.8","9.9",0
"Alabama","2 wk ahead","Bin","percent","9.9","10.0",0
"Alabama","2 wk ahead","Bin","percent","10.0","10.1",0
"Alabama","2 wk ahead","Bin","percent","10.1","10.2",0
"Alabama","2 wk ahead","Bin","percent","10.2","10.3",0
"Alabama","2 wk ahead","Bin","percent","10.3","10.4",0
"Alabama","2 wk ahead","Bin","percent","10.4","10.5",0
"Alabama","2 wk ahead","Bin","percent","10.5","10.6",0
"Alabama","2 wk ahead","Bin","percent","10.6","10.7",0
"Alabama","2 wk ahead","Bin","percent","10.7","10.8",0
"Alabama","2 wk ahead","Bin","percent","10.8","10.9",0
"Alabama","2 wk ahead","Bin","percent","10.9","11.0",0
"Alabama","2 wk ahead","Bin","percent","11.0","11.1",0
"Alabama","2 wk ahead","Bin","percent","11.1","11.2",0
"Alabama","2 wk ahead","Bin","percent","11.2","11.3",0
"Alabama","2 wk ahead","Bin","percent","11.3","11.4",0
"Alabama","2 wk ahead","Bin","percent","11.4","11.5",0
"Alabama","2 wk ahead","Bin","percent","11.5","11.6",0
"Alabama","2 wk ahead","Bin","percent","11.6","11.7",0
"Alabama","2 wk ahead","Bin","percent","11.7","11.8",0
"Alabama","2 wk ahead","Bin","percent","11.8","11.9",0
"Alabama","2 wk ahead","Bin","percent","11.9","12.0",0
"Alabama","2 wk ahead","Bin","percent","12.0","12.1",0
"Alabama","2 wk ahead","Bin","percent","12.1","12.2",0
"Alabama","2 wk ahead","Bin","percent","12.2","12.3",0
"Alabama","2 wk ahead","Bin","percent","12.3","12.4",0
"Alabama","2 wk ahead","Bin","percent","12.4","12.5",0
"Alabama","2 wk ahead","Bin","percent","12.5","12.6",0
"Alabama","2 wk ahead","Bin","percent","12.6","12.7",0
"Alabama","2 wk ahead","Bin","percent","12.7","12.8",0
"Alabama","2 wk ahead","Bin","percent","12.8","12.9",0
"Alabama","2 wk ahead","Bin","percent","12.9","13.0",0
"Alabama","2 wk ahead","Bin","percent","13.0","100.0",0
"Alabama","3 wk ahead","Point","percent",NA,NA,5.8
"Alabama","3 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","3 wk ahead","Bin","percent","0.1","0.2",0
"Alabama","3 wk ahead","Bin","percent","0.2","0.3",0
"Alabama","3 wk ahead","Bin","percent","0.3","0.4",0
"Alabama","3 wk ahead","Bin","percent","0.4","0.5",0
"Alabama","3 wk ahead","Bin","percent","0.5","0.6",0
"Alabama","3 wk ahead","Bin","percent","0.6","0.7",0
"Alabama","3 wk ahead","Bin","percent","0.7","0.8",0
"Alabama","3 wk ahead","Bin","percent","0.8","0.9",0
"Alabama","3 wk ahead","Bin","percent","0.9","1.0",0
"Alabama","3 wk ahead","Bin","percent","1.0","1.1",0
"Alabama","3 wk ahead","Bin","percent","1.1","1.2",0
"Alabama","3 wk ahead","Bin","percent","1.2","1.3",0
"Alabama","3 wk ahead","Bin","percent","1.3","1.4",0
"Alabama","3 wk ahead","Bin","percent","1.4","1.5",0
"Alabama","3 wk ahead","Bin","percent","1.5","1.6",0
"Alabama","3 wk ahead","Bin","percent","1.6","1.7",0
"Alabama","3 wk ahead","Bin","percent","1.7","1.8",0
"Alabama","3 wk ahead","Bin","percent","1.8","1.9",0
"Alabama","3 wk ahead","Bin","percent","1.9","2.0",0
"Alabama","3 wk ahead","Bin","percent","2.0","2.1",0
"Alabama","3 wk ahead","Bin","percent","2.1","2.2",0
"Alabama","3 wk ahead","Bin","percent","2.2","2.3",0
"Alabama","3 wk ahead","Bin","percent","2.3","2.4",0
"Alabama","3 wk ahead","Bin","percent","2.4","2.5",0
"Alabama","3 wk ahead","Bin","percent","2.5","2.6",0
"Alabama","3 wk ahead","Bin","percent","2.6","2.7",0
"Alabama","3 wk ahead","Bin","percent","2.7","2.8",0
"Alabama","3 wk ahead","Bin","percent","2.8","2.9",0
"Alabama","3 wk ahead","Bin","percent","2.9","3.0",0
"Alabama","3 wk ahead","Bin","percent","3.0","3.1",0
"Alabama","3 wk ahead","Bin","percent","3.1","3.2",0
"Alabama","3 wk ahead","Bin","percent","3.2","3.3",0
"Alabama","3 wk ahead","Bin","percent","3.3","3.4",1e-04
"Alabama","3 wk ahead","Bin","percent","3.4","3.5",1e-04
"Alabama","3 wk ahead","Bin","percent","3.5","3.6",3e-04
"Alabama","3 wk ahead","Bin","percent","3.6","3.7",1e-04
"Alabama","3 wk ahead","Bin","percent","3.7","3.8",4e-04
"Alabama","3 wk ahead","Bin","percent","3.8","3.9",9e-04
"Alabama","3 wk ahead","Bin","percent","3.9","4.0",0.0016
"Alabama","3 wk ahead","Bin","percent","4.0","4.1",0.0024
"Alabama","3 wk ahead","Bin","percent","4.1","4.2",0.0037
"Alabama","3 wk ahead","Bin","percent","4.2","4.3",0.0063
"Alabama","3 wk ahead","Bin","percent","4.3","4.4",0.0079
"Alabama","3 wk ahead","Bin","percent","4.4","4.5",0.0099
"Alabama","3 wk ahead","Bin","percent","4.5","4.6",0.0137
"Alabama","3 wk ahead","Bin","percent","4.6","4.7",0.0155
"Alabama","3 wk ahead","Bin","percent","4.7","4.8",0.0238
"Alabama","3 wk ahead","Bin","percent","4.8","4.9",0.0217
"Alabama","3 wk ahead","Bin","percent","4.9","5.0",0.0295
"Alabama","3 wk ahead","Bin","percent","5.0","5.1",0.0359
"Alabama","3 wk ahead","Bin","percent","5.1","5.2",0.0367
"Alabama","3 wk ahead","Bin","percent","5.2","5.3",0.043
"Alabama","3 wk ahead","Bin","percent","5.3","5.4",0.0481
"Alabama","3 wk ahead","Bin","percent","5.4","5.5",0.0497
"Alabama","3 wk ahead","Bin","percent","5.5","5.6",0.0482
"Alabama","3 wk ahead","Bin","percent","5.6","5.7",0.0512
"Alabama","3 wk ahead","Bin","percent","5.7","5.8",0
"Alabama","3 wk ahead","Bin","percent","5.8","5.9",0.0541
"Alabama","3 wk ahead","Bin","percent","5.9","6.0",0.0527
"Alabama","3 wk ahead","Bin","percent","6.0","6.1",0.0499
"Alabama","3 wk ahead","Bin","percent","6.1","6.2",0.0475
"Alabama","3 wk ahead","Bin","percent","6.2","6.3",0.0463
"Alabama","3 wk ahead","Bin","percent","6.3","6.4",0.0396
"Alabama","3 wk ahead","Bin","percent","6.4","6.5",0.0378
"Alabama","3 wk ahead","Bin","percent","6.5","6.6",0.033
"Alabama","3 wk ahead","Bin","percent","6.6","6.7",0.0281
"Alabama","3 wk ahead","Bin","percent","6.7","6.8",0.0261
"Alabama","3 wk ahead","Bin","percent","6.8","6.9",0.0231
"Alabama","3 wk ahead","Bin","percent","6.9","7.0",0.0186
"Alabama","3 wk ahead","Bin","percent","7.0","7.1",0.0176
"Alabama","3 wk ahead","Bin","percent","7.1","7.2",0.0146
"Alabama","3 wk ahead","Bin","percent","7.2","7.3",0.012
"Alabama","3 wk ahead","Bin","percent","7.3","7.4",0.0098
"Alabama","3 wk ahead","Bin","percent","7.4","7.5",0.0077
"Alabama","3 wk ahead","Bin","percent","7.5","7.6",0.0067
"Alabama","3 wk ahead","Bin","percent","7.6","7.7",0.0051
"Alabama","3 wk ahead","Bin","percent","7.7","7.8",0.0045
"Alabama","3 wk ahead","Bin","percent","7.8","7.9",0.0027
"Alabama","3 wk ahead","Bin","percent","7.9","8.0",0.0024
"Alabama","3 wk ahead","Bin","percent","8.0","8.1",0.0015
"Alabama","3 wk ahead","Bin","percent","8.1","8.2",0.0018
"Alabama","3 wk ahead","Bin","percent","8.2","8.3",0.0018
"Alabama","3 wk ahead","Bin","percent","8.3","8.4",9e-04
"Alabama","3 wk ahead","Bin","percent","8.4","8.5",0.001
"Alabama","3 wk ahead","Bin","percent","8.5","8.6",4e-04
"Alabama","3 wk ahead","Bin","percent","8.6","8.7",1e-04
"Alabama","3 wk ahead","Bin","percent","8.7","8.8",2e-04
"Alabama","3 wk ahead","Bin","percent","8.8","8.9",5e-04
"Alabama","3 wk ahead","Bin","percent","8.9","9.0",3e-04
"Alabama","3 wk ahead","Bin","percent","9.0","9.1",0
"Alabama","3 wk ahead","Bin","percent","9.1","9.2",3e-04
"Alabama","3 wk ahead","Bin","percent","9.2","9.3",1e-04
"Alabama","3 wk ahead","Bin","percent","9.3","9.4",0
"Alabama","3 wk ahead","Bin","percent","9.4","9.5",0
"Alabama","3 wk ahead","Bin","percent","9.5","9.6",0
"Alabama","3 wk ahead","Bin","percent","9.6","9.7",1e-04
"Alabama","3 wk ahead","Bin","percent","9.7","9.8",2e-04
"Alabama","3 wk ahead","Bin","percent","9.8","9.9",1e-04
"Alabama","3 wk ahead","Bin","percent","9.9","10.0",0
"Alabama","3 wk ahead","Bin","percent","10.0","10.1",0
"Alabama","3 wk ahead","Bin","percent","10.1","10.2",0
"Alabama","3 wk ahead","Bin","percent","10.2","10.3",1e-04
"Alabama","3 wk ahead","Bin","percent","10.3","10.4",0
"Alabama","3 wk ahead","Bin","percent","10.4","10.5",0
"Alabama","3 wk ahead","Bin","percent","10.5","10.6",0
"Alabama","3 wk ahead","Bin","percent","10.6","10.7",0
"Alabama","3 wk ahead","Bin","percent","10.7","10.8",0
"Alabama","3 wk ahead","Bin","percent","10.8","10.9",0
"Alabama","3 wk ahead","Bin","percent","10.9","11.0",0
"Alabama","3 wk ahead","Bin","percent","11.0","11.1",0
"Alabama","3 wk ahead","Bin","percent","11.1","11.2",0
"Alabama","3 wk ahead","Bin","percent","11.2","11.3",0
"Alabama","3 wk ahead","Bin","percent","11.3","11.4",0
"Alabama","3 wk ahead","Bin","percent","11.4","11.5",0
"Alabama","3 wk ahead","Bin","percent","11.5","11.6",0
"Alabama","3 wk ahead","Bin","percent","11.6","11.7",0
"Alabama","3 wk ahead","Bin","percent","11.7","11.8",0
"Alabama","3 wk ahead","Bin","percent","11.8","11.9",0
"Alabama","3 wk ahead","Bin","percent","11.9","12.0",0
"Alabama","3 wk ahead","Bin","percent","12.0","12.1",0
"Alabama","3 wk ahead","Bin","percent","12.1","12.2",0
"Alabama","3 wk ahead","Bin","percent","12.2","12.3",0
"Alabama","3 wk ahead","Bin","percent","12.3","12.4",0
"Alabama","3 wk ahead","Bin","percent","12.4","12.5",0
"Alabama","3 wk ahead","Bin","percent","12.5","12.6",0
"Alabama","3 wk ahead","Bin","percent","12.6","12.7",0
"Alabama","3 wk ahead","Bin","percent","12.7","12.8",0
"Alabama","3 wk ahead","Bin","percent","12.8","12.9",0
"Alabama","3 wk ahead","Bin","percent","12.9","13.0",0
"Alabama","3 wk ahead","Bin","percent","13.0","100.0",0
"Alabama","4 wk ahead","Point","percent",NA,NA,5.8
"Alabama","4 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","4 wk ahead","Bin","percent","0.1","0.2",0
"Alabama","4 wk ahead","Bin","percent","0.2","0.3",0
"Alabama","4 wk ahead","Bin","percent","0.3","0.4",0
"Alabama","4 wk ahead","Bin","percent","0.4","0.5",0
"Alabama","4 wk ahead","Bin","percent","0.5","0.6",0
"Alabama","4 wk ahead","Bin","percent","0.6","0.7",0
"Alabama","4 wk ahead","Bin","percent","0.7","0.8",0
"Alabama","4 wk ahead","Bin","percent","0.8","0.9",0
"Alabama","4 wk ahead","Bin","percent","0.9","1.0",0
"Alabama","4 wk ahead","Bin","percent","1.0","1.1",0
"Alabama","4 wk ahead","Bin","percent","1.1","1.2",0
"Alabama","4 wk ahead","Bin","percent","1.2","1.3",0
"Alabama","4 wk ahead","Bin","percent","1.3","1.4",0
"Alabama","4 wk ahead","Bin","percent","1.4","1.5",0
"Alabama","4 wk ahead","Bin","percent","1.5","1.6",0
"Alabama","4 wk ahead","Bin","percent","1.6","1.7",0
"Alabama","4 wk ahead","Bin","percent","1.7","1.8",0
"Alabama","4 wk ahead","Bin","percent","1.8","1.9",0
"Alabama","4 wk ahead","Bin","percent","1.9","2.0",0
"Alabama","4 wk ahead","Bin","percent","2.0","2.1",0
"Alabama","4 wk ahead","Bin","percent","2.1","2.2",0
"Alabama","4 wk ahead","Bin","percent","2.2","2.3",0
"Alabama","4 wk ahead","Bin","percent","2.3","2.4",0
"Alabama","4 wk ahead","Bin","percent","2.4","2.5",0
"Alabama","4 wk ahead","Bin","percent","2.5","2.6",0
"Alabama","4 wk ahead","Bin","percent","2.6","2.7",0
"Alabama","4 wk ahead","Bin","percent","2.7","2.8",0
"Alabama","4 wk ahead","Bin","percent","2.8","2.9",0
"Alabama","4 wk ahead","Bin","percent","2.9","3.0",0
"Alabama","4 wk ahead","Bin","percent","3.0","3.1",0
"Alabama","4 wk ahead","Bin","percent","3.1","3.2",1e-04
"Alabama","4 wk ahead","Bin","percent","3.2","3.3",1e-04
"Alabama","4 wk ahead","Bin","percent","3.3","3.4",1e-04
"Alabama","4 wk ahead","Bin","percent","3.4","3.5",0
"Alabama","4 wk ahead","Bin","percent","3.5","3.6",2e-04
"Alabama","4 wk ahead","Bin","percent","3.6","3.7",2e-04
"Alabama","4 wk ahead","Bin","percent","3.7","3.8",3e-04
