"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Alabama","1 wk ahead","Bin","percent","5.9","6.0",0.0714
"Alabama","1 wk ahead","Bin","percent","6.0","6.1",0.0648
"Alabama","1 wk ahead","Bin","percent","6.1","6.2",0.0623
"Alabama","1 wk ahead","Bin","percent","6.2","6.3",0.0476
"Alabama","1 wk ahead","Bin","percent","6.3","6.4",0.0332
"Alabama","1 wk ahead","Bin","percent","6.4","6.5",0.0208
"Alabama","1 wk ahead","Bin","percent","6.5","6.6",0.0132
"Alabama","1 wk ahead","Bin","percent","6.6","6.7",0.0082
"Alabama","1 wk ahead","Bin","percent","6.7","6.8",0.0046
"Alabama","1 wk ahead","Bin","percent","6.8","6.9",0.0025
"Alabama","1 wk ahead","Bin","percent","6.9","7.0",0.0022
"Alabama","1 wk ahead","Bin","percent","7.0","7.1",9e-04
"Alabama","1 wk ahead","Bin","percent","7.1","7.2",5e-04
"Alabama","1 wk ahead","Bin","percent","7.2","7.3",7e-04
"Alabama","1 wk ahead","Bin","percent","7.3","7.4",4e-04
"Alabama","1 wk ahead","Bin","percent","7.4","7.5",2e-04
"Alabama","1 wk ahead","Bin","percent","7.5","7.6",1e-04
"Alabama","1 wk ahead","Bin","percent","7.6","7.7",0
"Alabama","1 wk ahead","Bin","percent","7.7","7.8",0
"Alabama","1 wk ahead","Bin","percent","7.8","7.9",0
"Alabama","1 wk ahead","Bin","percent","7.9","8.0",0
"Alabama","1 wk ahead","Bin","percent","8.0","8.1",0
"Alabama","1 wk ahead","Bin","percent","8.1","8.2",0
"Alabama","1 wk ahead","Bin","percent","8.2","8.3",0
"Alabama","1 wk ahead","Bin","percent","8.3","8.4",0
"Alabama","1 wk ahead","Bin","percent","8.4","8.5",0
"Alabama","1 wk ahead","Bin","percent","8.5","8.6",0
"Alabama","1 wk ahead","Bin","percent","8.6","8.7",0
"Alabama","1 wk ahead","Bin","percent","8.7","8.8",0
"Alabama","1 wk ahead","Bin","percent","8.8","8.9",0
"Alabama","1 wk ahead","Bin","percent","8.9","9.0",0
"Alabama","1 wk ahead","Bin","percent","9.0","9.1",0
"Alabama","1 wk ahead","Bin","percent","9.1","9.2",0
"Alabama","1 wk ahead","Bin","percent","9.2","9.3",0
"Alabama","1 wk ahead","Bin","percent","9.3","9.4",0
"Alabama","1 wk ahead","Bin","percent","9.4","9.5",0
"Alabama","1 wk ahead","Bin","percent","9.5","9.6",0
"Alabama","1 wk ahead","Bin","percent","9.6","9.7",0
"Alabama","1 wk ahead","Bin","percent","9.7","9.8",0
"Alabama","1 wk ahead","Bin","percent","9.8","9.9",0
"Alabama","1 wk ahead","Bin","percent","9.9","10.0",0
"Alabama","1 wk ahead","Bin","percent","10.0","10.1",0
"Alabama","1 wk ahead","Bin","percent","10.1","10.2",0
"Alabama","1 wk ahead","Bin","percent","10.2","10.3",0
"Alabama","1 wk ahead","Bin","percent","10.3","10.4",0
"Alabama","1 wk ahead","Bin","percent","10.4","10.5",0
"Alabama","1 wk ahead","Bin","percent","10.5","10.6",0
"Alabama","1 wk ahead","Bin","percent","10.6","10.7",0
"Alabama","1 wk ahead","Bin","percent","10.7","10.8",0
"Alabama","1 wk ahead","Bin","percent","10.8","10.9",0
"Alabama","1 wk ahead","Bin","percent","10.9","11.0",0
"Alabama","1 wk ahead","Bin","percent","11.0","11.1",0
"Alabama","1 wk ahead","Bin","percent","11.1","11.2",0
"Alabama","1 wk ahead","Bin","percent","11.2","11.3",0
"Alabama","1 wk ahead","Bin","percent","11.3","11.4",0
"Alabama","1 wk ahead","Bin","percent","11.4","11.5",0
"Alabama","1 wk ahead","Bin","percent","11.5","11.6",0
"Alabama","1 wk ahead","Bin","percent","11.6","11.7",0
"Alabama","1 wk ahead","Bin","percent","11.7","11.8",0
"Alabama","1 wk ahead","Bin","percent","11.8","11.9",0
"Alabama","1 wk ahead","Bin","percent","11.9","12.0",0
"Alabama","1 wk ahead","Bin","percent","12.0","12.1",0
"Alabama","1 wk ahead","Bin","percent","12.1","12.2",0
"Alabama","1 wk ahead","Bin","percent","12.2","12.3",0
"Alabama","1 wk ahead","Bin","percent","12.3","12.4",0
"Alabama","1 wk ahead","Bin","percent","12.4","12.5",0
"Alabama","1 wk ahead","Bin","percent","12.5","12.6",0
"Alabama","1 wk ahead","Bin","percent","12.6","12.7",0
"Alabama","1 wk ahead","Bin","percent","12.7","12.8",0
"Alabama","1 wk ahead","Bin","percent","12.8","12.9",0
"Alabama","1 wk ahead","Bin","percent","12.9","13.0",0
"Alabama","1 wk ahead","Bin","percent","13.0","100.0",0
"Alabama","2 wk ahead","Point","percent",NA,NA,5.5
"Alabama","2 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","2 wk ahead","Bin","percent","0.1","0.2",0
"Alabama","2 wk ahead","Bin","percent","0.2","0.3",0
"Alabama","2 wk ahead","Bin","percent","0.3","0.4",0
"Alabama","2 wk ahead","Bin","percent","0.4","0.5",0
"Alabama","2 wk ahead","Bin","percent","0.5","0.6",0
"Alabama","2 wk ahead","Bin","percent","0.6","0.7",0
"Alabama","2 wk ahead","Bin","percent","0.7","0.8",0
"Alabama","2 wk ahead","Bin","percent","0.8","0.9",0
"Alabama","2 wk ahead","Bin","percent","0.9","1.0",0
"Alabama","2 wk ahead","Bin","percent","1.0","1.1",0
"Alabama","2 wk ahead","Bin","percent","1.1","1.2",0
"Alabama","2 wk ahead","Bin","percent","1.2","1.3",0
"Alabama","2 wk ahead","Bin","percent","1.3","1.4",0
"Alabama","2 wk ahead","Bin","percent","1.4","1.5",0
"Alabama","2 wk ahead","Bin","percent","1.5","1.6",0
"Alabama","2 wk ahead","Bin","percent","1.6","1.7",0
"Alabama","2 wk ahead","Bin","percent","1.7","1.8",0
"Alabama","2 wk ahead","Bin","percent","1.8","1.9",0
"Alabama","2 wk ahead","Bin","percent","1.9","2.0",0
"Alabama","2 wk ahead","Bin","percent","2.0","2.1",0
"Alabama","2 wk ahead","Bin","percent","2.1","2.2",0
"Alabama","2 wk ahead","Bin","percent","2.2","2.3",0
"Alabama","2 wk ahead","Bin","percent","2.3","2.4",0
"Alabama","2 wk ahead","Bin","percent","2.4","2.5",0
"Alabama","2 wk ahead","Bin","percent","2.5","2.6",0
"Alabama","2 wk ahead","Bin","percent","2.6","2.7",0
"Alabama","2 wk ahead","Bin","percent","2.7","2.8",0
"Alabama","2 wk ahead","Bin","percent","2.8","2.9",0
"Alabama","2 wk ahead","Bin","percent","2.9","3.0",0
"Alabama","2 wk ahead","Bin","percent","3.0","3.1",0
"Alabama","2 wk ahead","Bin","percent","3.1","3.2",2e-04
"Alabama","2 wk ahead","Bin","percent","3.2","3.3",4e-04
"Alabama","2 wk ahead","Bin","percent","3.3","3.4",5e-04
"Alabama","2 wk ahead","Bin","percent","3.4","3.5",0.0014
"Alabama","2 wk ahead","Bin","percent","3.5","3.6",0.0025
"Alabama","2 wk ahead","Bin","percent","3.6","3.7",0.0047
"Alabama","2 wk ahead","Bin","percent","3.7","3.8",0.008
"Alabama","2 wk ahead","Bin","percent","3.8","3.9",0
"Alabama","2 wk ahead","Bin","percent","3.9","4.0",0.0105
"Alabama","2 wk ahead","Bin","percent","4.0","4.1",0.0181
"Alabama","2 wk ahead","Bin","percent","4.1","4.2",0.0226
"Alabama","2 wk ahead","Bin","percent","4.2","4.3",0.0279
"Alabama","2 wk ahead","Bin","percent","4.3","4.4",0.0319
"Alabama","2 wk ahead","Bin","percent","4.4","4.5",0.0337
"Alabama","2 wk ahead","Bin","percent","4.5","4.6",0.0337
"Alabama","2 wk ahead","Bin","percent","4.6","4.7",0.0308
"Alabama","2 wk ahead","Bin","percent","4.7","4.8",0.0289
"Alabama","2 wk ahead","Bin","percent","4.8","4.9",0.0283
"Alabama","2 wk ahead","Bin","percent","4.9","5.0",0.0285
"Alabama","2 wk ahead","Bin","percent","5.0","5.1",0.0279
"Alabama","2 wk ahead","Bin","percent","5.1","5.2",0.034
"Alabama","2 wk ahead","Bin","percent","5.2","5.3",0.0334
"Alabama","2 wk ahead","Bin","percent","5.3","5.4",0.0448
"Alabama","2 wk ahead","Bin","percent","5.4","5.5",0.041
"Alabama","2 wk ahead","Bin","percent","5.5","5.6",0.0415
"Alabama","2 wk ahead","Bin","percent","5.6","5.7",0.0369
"Alabama","2 wk ahead","Bin","percent","5.7","5.8",0.0303
"Alabama","2 wk ahead","Bin","percent","5.8","5.9",0.0265
"Alabama","2 wk ahead","Bin","percent","5.9","6.0",0.0218
"Alabama","2 wk ahead","Bin","percent","6.0","6.1",0.0262
"Alabama","2 wk ahead","Bin","percent","6.1","6.2",0.031
"Alabama","2 wk ahead","Bin","percent","6.2","6.3",0.0414
"Alabama","2 wk ahead","Bin","percent","6.3","6.4",0.0493
"Alabama","2 wk ahead","Bin","percent","6.4","6.5",0.0477
"Alabama","2 wk ahead","Bin","percent","6.5","6.6",0.0401
"Alabama","2 wk ahead","Bin","percent","6.6","6.7",0.0331
"Alabama","2 wk ahead","Bin","percent","6.7","6.8",0.0205
"Alabama","2 wk ahead","Bin","percent","6.8","6.9",0.017
"Alabama","2 wk ahead","Bin","percent","6.9","7.0",0.0116
"Alabama","2 wk ahead","Bin","percent","7.0","7.1",0.0097
"Alabama","2 wk ahead","Bin","percent","7.1","7.2",0.0071
"Alabama","2 wk ahead","Bin","percent","7.2","7.3",0.0045
"Alabama","2 wk ahead","Bin","percent","7.3","7.4",0.0041
"Alabama","2 wk ahead","Bin","percent","7.4","7.5",0.0018
"Alabama","2 wk ahead","Bin","percent","7.5","7.6",0.0013
"Alabama","2 wk ahead","Bin","percent","7.6","7.7",0.0014
"Alabama","2 wk ahead","Bin","percent","7.7","7.8",0
"Alabama","2 wk ahead","Bin","percent","7.8","7.9",5e-04
"Alabama","2 wk ahead","Bin","percent","7.9","8.0",4e-04
"Alabama","2 wk ahead","Bin","percent","8.0","8.1",2e-04
"Alabama","2 wk ahead","Bin","percent","8.1","8.2",1e-04
"Alabama","2 wk ahead","Bin","percent","8.2","8.3",2e-04
"Alabama","2 wk ahead","Bin","percent","8.3","8.4",1e-04
"Alabama","2 wk ahead","Bin","percent","8.4","8.5",0
"Alabama","2 wk ahead","Bin","percent","8.5","8.6",0
"Alabama","2 wk ahead","Bin","percent","8.6","8.7",0
"Alabama","2 wk ahead","Bin","percent","8.7","8.8",0
"Alabama","2 wk ahead","Bin","percent","8.8","8.9",0
"Alabama","2 wk ahead","Bin","percent","8.9","9.0",0
"Alabama","2 wk ahead","Bin","percent","9.0","9.1",0
"Alabama","2 wk ahead","Bin","percent","9.1","9.2",0
"Alabama","2 wk ahead","Bin","percent","9.2","9.3",0
"Alabama","2 wk ahead","Bin","percent","9.3","9.4",0
"Alabama","2 wk ahead","Bin","percent","9.4","9.5",0
"Alabama","2 wk ahead","Bin","percent","9.5","9.6",0
"Alabama","2 wk ahead","Bin","percent","9.6","9.7",0
"Alabama","2 wk ahead","Bin","percent","9.7","9.8",0
"Alabama","2 wk ahead","Bin","percent","9.8","9.9",0
"Alabama","2 wk ahead","Bin","percent","9.9","10.0",0
"Alabama","2 wk ahead","Bin","percent","10.0","10.1",0
"Alabama","2 wk ahead","Bin","percent","10.1","10.2",0
"Alabama","2 wk ahead","Bin","percent","10.2","10.3",0
"Alabama","2 wk ahead","Bin","percent","10.3","10.4",0
"Alabama","2 wk ahead","Bin","percent","10.4","10.5",0
"Alabama","2 wk ahead","Bin","percent","10.5","10.6",0
"Alabama","2 wk ahead","Bin","percent","10.6","10.7",0
"Alabama","2 wk ahead","Bin","percent","10.7","10.8",0
"Alabama","2 wk ahead","Bin","percent","10.8","10.9",0
"Alabama","2 wk ahead","Bin","percent","10.9","11.0",0
"Alabama","2 wk ahead","Bin","percent","11.0","11.1",0
"Alabama","2 wk ahead","Bin","percent","11.1","11.2",0
"Alabama","2 wk ahead","Bin","percent","11.2","11.3",0
"Alabama","2 wk ahead","Bin","percent","11.3","11.4",0
"Alabama","2 wk ahead","Bin","percent","11.4","11.5",0
"Alabama","2 wk ahead","Bin","percent","11.5","11.6",0
"Alabama","2 wk ahead","Bin","percent","11.6","11.7",0
"Alabama","2 wk ahead","Bin","percent","11.7","11.8",0
"Alabama","2 wk ahead","Bin","percent","11.8","11.9",0
"Alabama","2 wk ahead","Bin","percent","11.9","12.0",0
"Alabama","2 wk ahead","Bin","percent","12.0","12.1",0
"Alabama","2 wk ahead","Bin","percent","12.1","12.2",0
"Alabama","2 wk ahead","Bin","percent","12.2","12.3",0
"Alabama","2 wk ahead","Bin","percent","12.3","12.4",0
"Alabama","2 wk ahead","Bin","percent","12.4","12.5",0
"Alabama","2 wk ahead","Bin","percent","12.5","12.6",0
"Alabama","2 wk ahead","Bin","percent","12.6","12.7",0
"Alabama","2 wk ahead","Bin","percent","12.7","12.8",0
"Alabama","2 wk ahead","Bin","percent","12.8","12.9",0
"Alabama","2 wk ahead","Bin","percent","12.9","13.0",0
"Alabama","2 wk ahead","Bin","percent","13.0","100.0",0
"Alabama","3 wk ahead","Point","percent",NA,NA,5.5
"Alabama","3 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","3 wk ahead","Bin","percent","0.1","0.2",0
"Alabama","3 wk ahead","Bin","percent","0.2","0.3",0
"Alabama","3 wk ahead","Bin","percent","0.3","0.4",0
"Alabama","3 wk ahead","Bin","percent","0.4","0.5",0
"Alabama","3 wk ahead","Bin","percent","0.5","0.6",0
"Alabama","3 wk ahead","Bin","percent","0.6","0.7",0
"Alabama","3 wk ahead","Bin","percent","0.7","0.8",0
"Alabama","3 wk ahead","Bin","percent","0.8","0.9",0
"Alabama","3 wk ahead","Bin","percent","0.9","1.0",0
"Alabama","3 wk ahead","Bin","percent","1.0","1.1",0
"Alabama","3 wk ahead","Bin","percent","1.1","1.2",0
"Alabama","3 wk ahead","Bin","percent","1.2","1.3",0
"Alabama","3 wk ahead","Bin","percent","1.3","1.4",0
"Alabama","3 wk ahead","Bin","percent","1.4","1.5",0
"Alabama","3 wk ahead","Bin","percent","1.5","1.6",0
"Alabama","3 wk ahead","Bin","percent","1.6","1.7",0
"Alabama","3 wk ahead","Bin","percent","1.7","1.8",0
"Alabama","3 wk ahead","Bin","percent","1.8","1.9",0
"Alabama","3 wk ahead","Bin","percent","1.9","2.0",0
"Alabama","3 wk ahead","Bin","percent","2.0","2.1",0
"Alabama","3 wk ahead","Bin","percent","2.1","2.2",0
"Alabama","3 wk ahead","Bin","percent","2.2","2.3",0
"Alabama","3 wk ahead","Bin","percent","2.3","2.4",0
"Alabama","3 wk ahead","Bin","percent","2.4","2.5",0
"Alabama","3 wk ahead","Bin","percent","2.5","2.6",0
"Alabama","3 wk ahead","Bin","percent","2.6","2.7",0
"Alabama","3 wk ahead","Bin","percent","2.7","2.8",2e-04
"Alabama","3 wk ahead","Bin","percent","2.8","2.9",1e-04
"Alabama","3 wk ahead","Bin","percent","2.9","3.0",4e-04
"Alabama","3 wk ahead","Bin","percent","3.0","3.1",0.001
"Alabama","3 wk ahead","Bin","percent","3.1","3.2",0.0018
"Alabama","3 wk ahead","Bin","percent","3.2","3.3",0.0039
"Alabama","3 wk ahead","Bin","percent","3.3","3.4",0.0059
"Alabama","3 wk ahead","Bin","percent","3.4","3.5",0.0079
"Alabama","3 wk ahead","Bin","percent","3.5","3.6",0.0129
"Alabama","3 wk ahead","Bin","percent","3.6","3.7",0.0161
"Alabama","3 wk ahead","Bin","percent","3.7","3.8",0.0201
"Alabama","3 wk ahead","Bin","percent","3.8","3.9",0
"Alabama","3 wk ahead","Bin","percent","3.9","4.0",0.0249
"Alabama","3 wk ahead","Bin","percent","4.0","4.1",0.034
"Alabama","3 wk ahead","Bin","percent","4.1","4.2",0.0295
"Alabama","3 wk ahead","Bin","percent","4.2","4.3",0.0306
"Alabama","3 wk ahead","Bin","percent","4.3","4.4",0.0286
"Alabama","3 wk ahead","Bin","percent","4.4","4.5",0.0269
"Alabama","3 wk ahead","Bin","percent","4.5","4.6",0.023
"Alabama","3 wk ahead","Bin","percent","4.6","4.7",0.0244
"Alabama","3 wk ahead","Bin","percent","4.7","4.8",0.0196
"Alabama","3 wk ahead","Bin","percent","4.8","4.9",0.0219
"Alabama","3 wk ahead","Bin","percent","4.9","5.0",0.0214
"Alabama","3 wk ahead","Bin","percent","5.0","5.1",0.0232
"Alabama","3 wk ahead","Bin","percent","5.1","5.2",0.0244
"Alabama","3 wk ahead","Bin","percent","5.2","5.3",0.0258
"Alabama","3 wk ahead","Bin","percent","5.3","5.4",0.0272
"Alabama","3 wk ahead","Bin","percent","5.4","5.5",0.0235
"Alabama","3 wk ahead","Bin","percent","5.5","5.6",0.0215
"Alabama","3 wk ahead","Bin","percent","5.6","5.7",0.0206
"Alabama","3 wk ahead","Bin","percent","5.7","5.8",0.0159
"Alabama","3 wk ahead","Bin","percent","5.8","5.9",0.0141
"Alabama","3 wk ahead","Bin","percent","5.9","6.0",0.0129
"Alabama","3 wk ahead","Bin","percent","6.0","6.1",0.0142
"Alabama","3 wk ahead","Bin","percent","6.1","6.2",0.0158
"Alabama","3 wk ahead","Bin","percent","6.2","6.3",0.0262
"Alabama","3 wk ahead","Bin","percent","6.3","6.4",0.0364
"Alabama","3 wk ahead","Bin","percent","6.4","6.5",0.0442
"Alabama","3 wk ahead","Bin","percent","6.5","6.6",0.0485
"Alabama","3 wk ahead","Bin","percent","6.6","6.7",0.0495
"Alabama","3 wk ahead","Bin","percent","6.7","6.8",0.0454
"Alabama","3 wk ahead","Bin","percent","6.8","6.9",0.0346
"Alabama","3 wk ahead","Bin","percent","6.9","7.0",0.0295
"Alabama","3 wk ahead","Bin","percent","7.0","7.1",0.0225
"Alabama","3 wk ahead","Bin","percent","7.1","7.2",0.0165
"Alabama","3 wk ahead","Bin","percent","7.2","7.3",0.0147
"Alabama","3 wk ahead","Bin","percent","7.3","7.4",0.0098
"Alabama","3 wk ahead","Bin","percent","7.4","7.5",0.008
"Alabama","3 wk ahead","Bin","percent","7.5","7.6",0.0071
"Alabama","3 wk ahead","Bin","percent","7.6","7.7",0.005
"Alabama","3 wk ahead","Bin","percent","7.7","7.8",0
"Alabama","3 wk ahead","Bin","percent","7.8","7.9",0.0026
"Alabama","3 wk ahead","Bin","percent","7.9","8.0",0.0024
"Alabama","3 wk ahead","Bin","percent","8.0","8.1",9e-04
"Alabama","3 wk ahead","Bin","percent","8.1","8.2",7e-04
"Alabama","3 wk ahead","Bin","percent","8.2","8.3",7e-04
"Alabama","3 wk ahead","Bin","percent","8.3","8.4",3e-04
"Alabama","3 wk ahead","Bin","percent","8.4","8.5",1e-04
"Alabama","3 wk ahead","Bin","percent","8.5","8.6",1e-04
"Alabama","3 wk ahead","Bin","percent","8.6","8.7",1e-04
"Alabama","3 wk ahead","Bin","percent","8.7","8.8",0
"Alabama","3 wk ahead","Bin","percent","8.8","8.9",0
"Alabama","3 wk ahead","Bin","percent","8.9","9.0",0
"Alabama","3 wk ahead","Bin","percent","9.0","9.1",0
"Alabama","3 wk ahead","Bin","percent","9.1","9.2",0
"Alabama","3 wk ahead","Bin","percent","9.2","9.3",0
"Alabama","3 wk ahead","Bin","percent","9.3","9.4",0
"Alabama","3 wk ahead","Bin","percent","9.4","9.5",0
"Alabama","3 wk ahead","Bin","percent","9.5","9.6",0
"Alabama","3 wk ahead","Bin","percent","9.6","9.7",0
"Alabama","3 wk ahead","Bin","percent","9.7","9.8",0
"Alabama","3 wk ahead","Bin","percent","9.8","9.9",0
"Alabama","3 wk ahead","Bin","percent","9.9","10.0",0
"Alabama","3 wk ahead","Bin","percent","10.0","10.1",0
"Alabama","3 wk ahead","Bin","percent","10.1","10.2",0
"Alabama","3 wk ahead","Bin","percent","10.2","10.3",0
"Alabama","3 wk ahead","Bin","percent","10.3","10.4",0
"Alabama","3 wk ahead","Bin","percent","10.4","10.5",0
"Alabama","3 wk ahead","Bin","percent","10.5","10.6",0
"Alabama","3 wk ahead","Bin","percent","10.6","10.7",0
"Alabama","3 wk ahead","Bin","percent","10.7","10.8",0
"Alabama","3 wk ahead","Bin","percent","10.8","10.9",0
"Alabama","3 wk ahead","Bin","percent","10.9","11.0",0
"Alabama","3 wk ahead","Bin","percent","11.0","11.1",0
"Alabama","3 wk ahead","Bin","percent","11.1","11.2",0
"Alabama","3 wk ahead","Bin","percent","11.2","11.3",0
"Alabama","3 wk ahead","Bin","percent","11.3","11.4",0
"Alabama","3 wk ahead","Bin","percent","11.4","11.5",0
"Alabama","3 wk ahead","Bin","percent","11.5","11.6",0
"Alabama","3 wk ahead","Bin","percent","11.6","11.7",0
"Alabama","3 wk ahead","Bin","percent","11.7","11.8",0
"Alabama","3 wk ahead","Bin","percent","11.8","11.9",0
"Alabama","3 wk ahead","Bin","percent","11.9","12.0",0
"Alabama","3 wk ahead","Bin","percent","12.0","12.1",0
"Alabama","3 wk ahead","Bin","percent","12.1","12.2",0
"Alabama","3 wk ahead","Bin","percent","12.2","12.3",0
"Alabama","3 wk ahead","Bin","percent","12.3","12.4",0
"Alabama","3 wk ahead","Bin","percent","12.4","12.5",0
"Alabama","3 wk ahead","Bin","percent","12.5","12.6",0
"Alabama","3 wk ahead","Bin","percent","12.6","12.7",0
"Alabama","3 wk ahead","Bin","percent","12.7","12.8",0
"Alabama","3 wk ahead","Bin","percent","12.8","12.9",0
"Alabama","3 wk ahead","Bin","percent","12.9","13.0",0
"Alabama","3 wk ahead","Bin","percent","13.0","100.0",0
"Alabama","4 wk ahead","Point","percent",NA,NA,5
"Alabama","4 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","4 wk ahead","Bin","percent","0.1","0.2",0
"Alabama","4 wk ahead","Bin","percent","0.2","0.3",0
"Alabama","4 wk ahead","Bin","percent","0.3","0.4",0
"Alabama","4 wk ahead","Bin","percent","0.4","0.5",0
"Alabama","4 wk ahead","Bin","percent","0.5","0.6",0
"Alabama","4 wk ahead","Bin","percent","0.6","0.7",0
"Alabama","4 wk ahead","Bin","percent","0.7","0.8",0
"Alabama","4 wk ahead","Bin","percent","0.8","0.9",0
"Alabama","4 wk ahead","Bin","percent","0.9","1.0",0
"Alabama","4 wk ahead","Bin","percent","1.0","1.1",0
"Alabama","4 wk ahead","Bin","percent","1.1","1.2",0
"Alabama","4 wk ahead","Bin","percent","1.2","1.3",0
"Alabama","4 wk ahead","Bin","percent","1.3","1.4",0
"Alabama","4 wk ahead","Bin","percent","1.4","1.5",0
"Alabama","4 wk ahead","Bin","percent","1.5","1.6",0
"Alabama","4 wk ahead","Bin","percent","1.6","1.7",0
"Alabama","4 wk ahead","Bin","percent","1.7","1.8",0
"Alabama","4 wk ahead","Bin","percent","1.8","1.9",0
"Alabama","4 wk ahead","Bin","percent","1.9","2.0",0
"Alabama","4 wk ahead","Bin","percent","2.0","2.1",0
"Alabama","4 wk ahead","Bin","percent","2.1","2.2",0
"Alabama","4 wk ahead","Bin","percent","2.2","2.3",0
"Alabama","4 wk ahead","Bin","percent","2.3","2.4",0
"Alabama","4 wk ahead","Bin","percent","2.4","2.5",2e-04
"Alabama","4 wk ahead","Bin","percent","2.5","2.6",3e-04
"Alabama","4 wk ahead","Bin","percent","2.6","2.7",5e-04
"Alabama","4 wk ahead","Bin","percent","2.7","2.8",0.0014
"Alabama","4 wk ahead","Bin","percent","2.8","2.9",0.0019
"Alabama","4 wk ahead","Bin","percent","2.9","3.0",0.004
"Alabama","4 wk ahead","Bin","percent","3.0","3.1",0.0063
"Alabama","4 wk ahead","Bin","percent","3.1","3.2",0.0091
"Alabama","4 wk ahead","Bin","percent","3.2","3.3",0.014
"Alabama","4 wk ahead","Bin","percent","3.3","3.4",0.0184
"Alabama","4 wk ahead","Bin","percent","3.4","3.5",0.0233
"Alabama","4 wk ahead","Bin","percent","3.5","3.6",0.0289
"Alabama","4 wk ahead","Bin","percent","3.6","3.7",0.0357
